Root,Meaning in English,Origin language,Etymology (root origin),English examples
voc-,"call, voice",Latin,"vocare (to call), from vox ""voice"" (genitive vocis)","advocacy, advocate, advocation, advocator, advocatory, advoke, advowson, avocation, avouch, avow, avowal, avowry, convocate, convocation, convocator, convoke, disavow, disavowal, equivocal, equivocate, equivocation, evocable, evocation, evocative, evocator, evoke, invocable, invocate, invocation, invocative, invocator, invoke, prevocational, provocate, provocateur, provocation, provocative, provocator, provoke, reavow, reinvoke, revocable, revocation, revoke, vocabulary, vocal, vocation, vocational, vocative, vociferous, voice, vouch, vouchee, voucher, vouchsafe"
vol-,fly,Latin,volare,"avolation, circumvolant, circumvolation, nonvolatile, volatile, volatility, volitant, volitation"
vol-,will,Latin,"voluntas ""will"" from velle ""to wish""","benevolence, benevolent, involuntary, malevolence, malevolent, omnibenevolence, velleity, volitient, volition, volitional, volitive, voluntary, Voluntaryism, volunteer, voluptuary, voluptuous"
"volv-, volut-",roll,Latin,"volvere, volutus","advolution, archivolt, circumvolute, circumvolution, circumvolve, coevolution, coevolutionary, coevolve, convolute, convolution, devolve, evolve, involve, revolve, valve, vault, volte, voluble, volume, voluminous, volva, Volvox, volvulus, voussoir, vulva"
vom-,discharge,Latin,vomere,"vomit, vomition, vomitory, vomitus"
"vor-, vorac-",swallow,Latin,"vorare, vorax","carnivore, carnivorous, devoration, devoré, devour, herbivore, herbivorous, locavore, omnivore, omnivorous, voracious, voracity, voraginous"
"vov-, vot-",vow,Latin,"vovere, votus","devote, devotee, devotion, devotional, devout, devolve, devow, votary, vote, votive, vow"
vulg-,crowd,Latin,vulgus,"divulge, vulgarity, vulgate"
vulner-,wound,Latin,"vulnus, vulneris",vulnerable
vulp-,fox,Latin,"vulpēs, vulpis",vulpine
