Root,Meaning in English,Origin language,Etymology (root origin),English examples
dodec-,twelve,Greek,δώδεκα (dṓdeka),"dodecagon, dodecahedron, Dodecanese, dodecaphony, dodecastyle, dodecasyllabic, hemidodecahedron"
"dog-, dox-","opinion, tenet",Greek,"δοκεῖν (dokeîn) ""to appear, seem, think"", δόξα (dóxa) ""opinion"", δόγμα (dógma)","dogma, dogmatic, dogmatism, doxology, heterodox, orthodox, paradox"
dol-,pain,Latin,"dolere ""to grieve"", also dolus ""grief"" and dolor ""pain""","condolence, dol, doleful, dolorous, indolence"
dom-,house,Latin,domus,"dame, domal, dome, domestic, domesticate, domestication, domesticity, domestique, domicile, domiciliary, major-domo, semidome"
domin-,master,Latin,"dominus ""master""; (from domus ""house"")","beldam, beldame, belladonna, codomain, codominance, codominant, condominium, dam, dame, damsel, danger, demesne, demoiselle, domain, dominance, dominant, dominate, domination, dominative, dominator, dominatrix, domine, domineer, dominicide, dominion, dominium, domino, duenna, dungeon, madam, madame, mademoiselle, madonna, predominance, predominant, predominate, quasidominance, semidominance, subdominant, superdominant"
domit-,tame,Latin,"domitare, frequentative of domare","daunt, domitable, indomitable"
don-,give,Latin,"dōnum, donare","condonation, condone, donate, donation, donative, donator, donatory, donor, pardon, pardonable"
dorm-,sleep,Latin,dormire,"dormant, dormitory"
dors-,back,Latin,dorsum,"disendorse, dorsal, dorsiferous, dorsiflexion, dorsiflexor, dorsigrade, dorsiventral, dorsum, dossier, endorse, endorsee, endorsement, indorse, indorsement, reredos"
dra-,do,Greek,"δρᾶν (drân), δραστικός (drastikós), δρᾶσις (drâsis), δρᾶμα, δράματος (drâma, drámatos), δραματικός (dramatikós)","dramatic, dramaturgy, drastic, melodramatic, monodrama"
drac-,dragon,Latin,draco,"Draco, draconian"
drach-,grasp,Greek,"δράσσεσθαι (drássesthai), δράγμα (drágma), δραχμή (drakhmḗ)","didrachm, drachm, drachma, dram, tetradrachm"
"dram-, drom- (ΔΡΑΜ)",run,Greek,"δραμεῖν (drameîn), δρόμος (drómos)","aerodrome, anadromous, antidromic, catadromous, diadromous, dromaeosaurid, heterodromous, hippodrome, loxodrome, monodromy, palindrome, syndrome"
dros-,dew,Greek,"δρόσος, δρόσου (drósos, drósou)","drosometer, Drosophila"
dry-,tree,Greek,"δρῦς, δρυός (drûs, druós), Δρυάς","dryad, dryadic, hamadryad"
du-,two,Latin,duo,"deuce, doubt, dual, duality, duet, duo, duplex, duplicity, duumvirate, duumviri, nonduality"
dub-,doubtful,Latin,dubius,"doubt, dubiety, dubious"
"duc-, duct-",lead,Latin,"ducere, ductus","abduce, abduct, adduce, adduct, conduce, deduce, induce, introduce, produce, reduce, seduce, traduce"
dulc-,sweet,Latin,dulcis,"billet-doux, dolce, dolcetto, douce, doux, dulcet, dulcian, dulcify, dulcimer, edulcorant, edulcorate, subdulcid"
dur-,hard,Latin,"durus, durare","dour, dura, durability, durable, durain, dural, duramen, durance, durancy, duration, durative, dure, duress, durity, durous, durum, endurable, endurance, endurant, endure, indurate, induration, nondurable, obduracy, obdurate, obduration, perdurable, perdurance, perdure, subdural"
dy-,two,Greek,"δύο (dúo), δυάς, δυάδος (duás, duádos)","dyad, dyadic"
dyna-,power,Greek,"δύνασθαι (dúnasthai), δυνατός, δύναμις (dúnamis), δυνάστης (dunástēs)","aerodynamic, aerodynamics, antidynastic, autodyne, didynamous, dynamic, dynamism, dynamite, dynamo, dynast, dynastic, dynasty, heterodyne, metadynamics"
dys-,"badly, ill",Greek,δυσ- (dus-),"dysentery, dysphagia, dysphasia, dysplasia, dystopia, dystrophy"
