Root,Meaning in English,Origin language,Etymology (root origin),English examples
herald-,"messenger, envoy",Latin,heraldus,"herald, heraldic, heraldry"
herb-,grass,Latin,herba,"herbal, herbicide, herbivore"
"heres-, heret-","choose, take",Greek,"αἱρεῖν (haireîn) ""to take, choose""","heresy, heretic, heretical"
herm-,Hermes,Greek,Ἑρμῆς (Hermês),"herm, hermaphrodite, hermetic"
hermeneu-,"interpret, explain",Greek,"ἑρμηνεύς (hermēneús), ἑρμηνεύω (hermēneúō), ἑρμηνευτικός (hermēneutikós), ἑρμήνευσις, ἑρμήνευμα","hermeneutic, hermeneutics"
hero-,hero,Greek,"ἥρως, ἥρωος (hḗrōs, hḗrōos), ἡρωίνη (hērōínē), ἡρωϊκός (hērōïkós), ἡρωϊσμός (hērōïsmós)","antihero, hero, heroic, heroine, heroism"
herp-,creep,Greek,"ἕρπειν (hérpein), ἕρπης, ἕρπητος (hérpēs, hérpētos)","herpes, herpetology"
heter-,"different, other",Greek,ἕτερος (héteros),"heterochromatin, heterodox, heterodoxy, heterogeneity, heterogeneous, heterophobia, heterosexuality, heterosexual, heterosis, heterotic"
heur-,find,Greek,"εὑρίσκειν (heurískein), εὕρηκα (heúrēka), εὕρημα (heúrēma)","eureka, heuristic, metaheuristic"
hex-,six,Greek,"ἕξ (héx), ἑξάς, ἑξάδος (hexás, hexádos)","hexachord, hexad, hexadic, hexagon, hexagram, hexahedron, hexamer, hexamerous, hexameter, hexapod, hexastyle, hexasyllabic, Hexateuch, hexatonic, hexode, tetrahemihexahedron"
hi-,gape,Latin,hiare,"dehisce, dehiscence, dehiscent, hiatal, hiatus, indehiscence, indehiscent, inhiation"
hibern-,wintry,Latin,hibernus,"hibernacle, hibernaculum, hibernal, hibernate, hibernation, hibernator"
hidrot-,sweat,Greek,"ἱδρώς, ἱδρῶτος (hidrṓs, hidrōtos), ἱδροῦν (hidroûn), ἵδρωσις (hídrōsis)","anhidrosis, dyshidrosis, dyshidrotic, hematidrosis, hidrocystoma, hidropoiesis, hidroschesis, hidrosis, hidrotic, hyperhidrosis, hypohidrosis"
hiem-,winter,Latin,hiems,hiemal
hier-,"holy, sacred",Greek,ἱερός (hierós),"hierarch, hierarchy, hieratic, hierocracy, hierodeacon, hieroglyph, hieroglyphic, hierogram, hierolatry, hieromonk, hierurgy"
hipp-,horse,Greek,ἵππος (híppos),"ephippium, hippeis, hippocampus, hippodrome, hippology, Hippolyte, hippomancy, hippophagy, hippophile, hippophobia, hippopotamus, parahippocampus"
hirsut-,hairy,Latin,"hirtus, hirsutus","hirsute, hirsutulous"
hispid-,bristly,Latin,hispidus,"hispidity, hispidulous"
histri-,actor,Latin,"histrio, histrionis",histrionic
hod-,way,Greek,ὁδός (hodós),"anode, cathode, diode, electrode, episode, ergodic, exodos, exodus, heptode, herpolhode, hodograph, hodology, hodometer, hodonym, hodophobia, hodoscope, hydathode, method, methodic, Methodism, Methodist, methodology, octode, parodos, pentode, period, periodic, synod, tetrode, triode"
hol-,whole,Greek,"ὅλος (hólos), ὁλικός (holikós)","catholic, holiatry, holism, holistic, holography, holomorphic, holonomy"
hom-,same,Greek,ὁμός (homós),"homiletic, homily, homogeneous, homograph, homologous, homology, homomorphism, homonym, homophobia, homophone, homosexual, homozygous"
homal-,"even, flat",Greek,"ὁμαλός (homalós) ""even"", from ὁμός (homós) ""same""","anomalous, anomaly"
homin-,human,Latin,"homo, hominis","ad hominem, bonhomie, homage, hombre, homicide, hominid, homuncular, homunculus, human, humane, humanitarian, humanity, inhuman, inhumane, inhumanity, Nemo, nonhuman, omber, ombre, prehuman, subhuman, superhuman, transhuman"
"homoe-, home-","like, similar",Greek,"ὅμοιος (hómoios), ὁμοῖος, ὁμοιότης","homeomorphism, homeopathy, homeostasis, homeothermy, homoeopathy, homoiotherm, homoiothermic"
honor-,esteem,Latin,"honos, honoris","dishonor, dishonorable, honorable, honorand, honorarium, honorary, honoree, honorific"
hor-,boundary,Greek,"ὅρος (hóros), ὁρίζειν (horízein)","aorist, aphorism, aphorismus, aphorize, diorite, horizon, horopter, horotelic"
hor-,hour,Greek,ὥρα (hṓra),"horologist, horology, horometry, horoscope"
horm-,that which excites,Greek,"ὁρμᾶν, ὁρμεῖν (hormân, hormeîn), ὁρμή (hormḗ), ὅρμησις (hórmēsis), ὁρμῶν (hormôn)","horme, hormephobia, hormesis, hormetic, hormic, hormone"
hort-,garden,Latin,"hortus, horti","antecourt, cohort, cortege, court, courteous, courtesan, courtesy, courtier, curtain, curtilage, Curtis, discourteous, discourtesy, frontcourt, horticultural, horticulture"
hospit-,host,Latin,"hospes, hospitis","co-host, hospice, hospitable, hospital, hospitality, host, hostal, hostel, hosteler, hostler, hotel, hotelier, inhospitable, inhospitality"
host-,enemy,Latin,hostis,"host, hostile, hostility"
hum-,ground,Latin,"humus, humare","disinhume, exhumation, exhume, humate, humation, humble, humic, humicolous, humiliate, humiliation, humility, humus, inhumation, inhume"
hyal-,glass,Greek,ὕαλος (húalos),"hyaline, hyaloid"
hybr-,wantonness,Greek,"ὕβρις (húbris), ὑβρίζω, ὕβριστος, ὑβριστικός (hubrízō, húbristos, hubristikós), ὑβρισμός, ὕβρισμα, ὑβριστής","hubris, hubristic, hybris, hybristic"
hydn-,truffle,Greek,ὕδνον (húdnon),"hydnoid, Hydnum"
hydr-,water,Greek,"ὕδωρ, ὕδατος (húdōr, húdatos), ὕδρα (húdra)","clepsydra, dehydrate, hydathode, hydatid, hydatidosis, hydra, hydrant, hydrate, hydraulic, hydraulics, hydrochloric, hydrodynamics, hydroelectric, hydrogen, hydrologist, hydrology, hydrolysis, hydromancy, hydrophile, hydrophilic, hydrophily, hydrophobia, hydrophobic, hydroponic, hydrosphere, hydrostat, hydrostatic, hydrothermic, hydrous, hydrozoa, polyhydric"
hygie-,healthy,Greek,"ὑγιής (hugiḗs), ὑγίεια (hugíeia), ὑγιεινός (hugieinós), ὑγιάζειν","Hygieia, hygiene, hygienic, hygienics, hygienist"
hygr-,wet,Greek,ὑγρός (hugrós),"hygric, hygroma, hygrometer"
hymen-,skin or membrane,Greek,"ὑμήν, ὑμένος (humḗn, huménos)","hymen, hymenium, hymenomycete, hymenophore, hymenoplasty, Hymenoptera, hymenorrhaphy, hymenotomy"
hyo-,U-shaped,Greek,ὑοειδής (huoeidḗs),"hyoid, hyostyly"
"hyp-, hypo-","under , below",Greek,ὑπό (hupó),"hyphen, hypoallergenic, hypodermic, hypogene, hypothermia, hypothesis, hypotonic, hypoxemia, hypoxia"
hyper-,"above, over",Greek,ὑπέρ (hupér),"hyper, hyperbaric, hyperbola, hyperbole, Hyperion, hyperlink, hyperoxia, hyperpyrexia, hyperthermia, hypertonic"
hyph-,weave,Greek,"ὑφαίνειν (huphaínein), ὕφασμα, ὑφή (huphḗ) ""web""","hypha, hyphomycete, hyphopodium"
hypn-,sleep,Greek,ὕπνος (húpnos),"hypnagogia, hypnagogic, hypnolepsy, hypnophobia, hypnopompia, hypnopompic, hypnosis, hypnotherapy, hypnotic, hypnotist, hypnotize"
hyps-,height,Greek,"ὕψι, ὕψιστος, ὕψος (húpsos), ὑψοῦ, ὑψόθεν","hypsography, hypsometer, hypsophobia"
hys-,hog,Greek,"ὗς (hûs), ὕαινα (húaina)","hyena, hyenoid"
hyster-,womb,Greek,ὑστέρα (hustéra),"hysteralgia, hysteratresia, hysterectomy, hysteria, hysteric, hysterosalpingography"
hyster-,later,Greek,"ὑστερεῖν (hustereîn), ὕστερος (hústeros), ὑστέρησις (hustérēsis), ὑστέρημα (hustérēma)","hysteresis, hysteretic, hysteron proteron"
