Root,Meaning in English,Origin language,Etymology (root origin),English examples
organ-,"organ, instrument, tool",Greek,ὄργανον (órganon),"organic, organism, organogenesis"
"ori-, ort-",rise,Latin,"oriri, ortus","aboriginal, abort, abortifacient, abortion, abortive, disorient, disorientation, orient, oriental, Orientalia, orientate, orientation, orientational, orientative, origin, original, originality, originate, origination, originator, reorient, reorientation"
orn-,decorate,Latin,ōrnāre,"adorn, adornment, ornament, ornamental, ornamentation, ornate, ornative, ornature, suborn, subornation"
ornith-,bird,Greek,"ὄρνις, ὄρνιθος (órnis, órnithos)","Avernus, ornithology, ornithomancy, ornithorhynchus, ornithosis"
orphan-,,Greek,"ὀρφανός (orphanós), ὀρφανότης",orphan
orth-,straight,Greek,"ὀρθός (orthós), ὀρθότης","orthocenter, orthocentric, orthodontia, orthodontic, orthodontist, orthodox, orthodoxy, orthographic, ortholog, orthologous, orthonym, orthopedic, orthoscope, orthosis, orthostat, orthostyle, orthotic"
oryz-,rice,Greek,"ὄρυζα (óruza), ὀρύζιον","Oryza, Oryzomys, rice, risotto"
oscill-,swing,Latin,oscillum,"oscillate, oscillation, oscillator, oscillatory"
osm-,odor,Greek,"ὀσμή (osmḗ), ὄσμησις","anosmia, anosmic, cacosmia, coprosmia, dysosmia, dysosmic, euosmia, hyperosmia, hyperosmic, hyposmia, hyposmic, osmium, osmolagnia, osmophobia, osphresiolagnia, parosmia, phantosmia, troposmia"
osm-,"push, thrust",Greek,ὠσμός (ōsmós),"osmometry, osmosis, osmostat, osmotic"
oss-,bone,Latin,"os, ossis","exossation, interosseous, ossature, osselet, osseocartilaginous, osseointegration, osseous, ossicle, ossicular, ossiferous, ossification, ossifrage, ossify, ossuary"
oste-,bone,Greek,"ὀστέον, ὀστέου (ostéon, ostéou), ὀστοῦν, ὀστοῦ (ostoûn, ostoû)","dysostosis, endosteum, exostosis, hyperostosis, monostotic, Osteichthyes, osteoarthritis, osteoblast, osteochondritis, osteochondrosis, osteoclast, osteogenic, osteogenesis, osteoid, osteology, osteolysis, osteoma, osteomalacia, osteonecrosis, osteopathy, osteopenia, osteoporosis, osteosarcoma, osteosis, osteothrombosis, osteotome, osteotomy, periosteum, synostosis"
osti-,entrance,Latin,ostium,"ostiary, ostiolar, ostiole, ostium"
ostrac-,shell,Greek,"ὄστρειον (óstreion), ὀστρακίζω (ostrakízō), ὄστρακον (óstrakon)","Entomostraca, Leptostraca, Malacostraca, ostracism, ostracize, ostracod, ostracoderm, ostracon, periostracum"
ostre-,oyster,Greek,ὄστρεον,"ostreophagist, oyster"
ot-,ear,Greek,"οὖς, ὠτός (oûs, ōtós)","anotia, Aotus, microtia, Myosotis, otalgia, otic, otitis, otocephaly, otocleisis, otoconium, otocyst, otodynia, otolith, otology, otopathy, otophyma, otoplasty, otorhinology, otorrhea, otosclerosis, otoscope, otoscopy, ototomy, parotic, parotid, periotic, synotia"
ov-,egg,Latin,ovum,"obovate, oval, ovarian, ovariole, ovary, ovate, ovicapsule, ovicidal, ovicide, oviduct, oviferous, oviform, oviposition, ovipositor, ovolo, ovular, ovulation, ovulatory, ovule, ovum, pluriovulate"
ovi-,sheep,Latin,ovis,"ovile, ovine"
oxy-,"sharp, pointed",Greek,ὀξύς (oxús),"anoxia, anoxic, dioxide, hypoxia, monoxide, oxide, oxyanion, oxygen, oxyhalide, oxymoron, oxyntic, oxytone, paroxysm, pentoxide, polyoxide, tetraoxygen, tetroxide, trioxide"
oz-,smell,Greek,"ὄζειν (ózein), ὄζων (ózōn), ὄζη","ozocerite, ozone, ozopore"
