Root,Meaning in English,Origin language,Etymology (root origin),English examples
eteo-,"true, original",Greek,ἐτεός (eteós),"Eteocretan, Eteocypriot"
eth-,"custom, habit",Greek,"ἐθεῖν (etheîn), ἦθος (êthos)","ethic, ethics, ethology, ethos"
ethm-,"sieve, sift",Greek,"ἠθεῖν (ētheîn), ἠθμός (ēthmós); ἤθειν (ḗthein)",ethmoid
ethn-,"people, race, tribe, nation",Greek,"ἔθνος (éthnos), ἐθνικός (ethnikós)","ethnarch, ethnarchy, ethnic, ethnoarchaeology, ethnography, ethnomusicology, polyethnic"
etym-,true,Greek,ἔτυμος (étumos),"etymologic, etymologicon, etymologist, etymologize, etymology, etymon"
eu-,"well, good",Greek,εὖ (eû),"aneuploidy, eudaemon (eudemon), eukaryote, euphony, euphoria, euphoric, euploid, euthanasia"
eur-,wide,Greek,"εὐρύς (eurús), εὖρος ""breadth, width""","aneurysm, eureka, Europe, eurypterid, microaneurysm"
"ex-, e-, ef-","outside, out of, from, out",Latin,ex,"exclude, exist, exit, extend, extrude"
exo-,outside,Greek,ἔξω (éxō),"exogamy, exoplanet, exoskeleton, exosome, exosphere, exoteric, exothermic, exotic, exoticism, exotropia"
extra-,outer,Latin,"extra, extraneus and exterus","estrange, estrangement, exterior, extra, extraneous, extraordinary, strange"
extrem-,"outermost, utmost",Latin,extremus,"extreme, extremity, extremophile"
