Root,Meaning in English,Origin language,Etymology (root origin),English examples
rhin-,"nose, snout",Greek,"ῥίς, ῥινός (rhís, rhinós)","catarrhine, haplorhine, platyrrhine, rhinoceros, rhinophyma, rhinoplasty, strepsirrhine"
rhiz-,root,Greek,"ῥίζα (rhíza), ῥιζοῦν (rhizoûn), ῥίζωμα (rhízōma)","ectomycorrhiza, rhizoid, rhizomatous, rhizome, rhizomorph, rhizomorphous, rhizophagous, rhizophagy, Rhizopogon, Rhizopus, rhizosphere"
rho-,"R, r",Greek,"Ρ, ρ, ῥῶ (rhô)","rho, rhotacism, rhotacize, rhotic"
rhod-,rose,Greek,ῥόδον (rhódon),"rhododendron, rhodophyte, rhodopsin, rhodophobia"
rhomb-,spinning top,Greek,ῥόμβος (rhómbos),"orthorhombic, rhomb, rhombic, rhomboid, rhombus, rhumb"
rhynch-,snout,Greek,ῥύγχος (rhúnkhos),"Oncorhynchus, Rhynchobatus, rhynchophore"
"rid-, ris-",laugh,Latin,"ridere ""to laugh"" (past participle risus)","deride, derision, ridicule, ridiculous, risible"
robor-,"oak, strength",Latin,"rōborāre ""to strengthen"", from rōbur, rōbus ""strength""","corroborant, corroborate, corroboration, corroborative, corroborator, robust"
"rod-, ros-",gnaw,Latin,"rōdere, rōsus","corrode, erosion, rodent"
rog-,ask,Latin,rogāre,"abrogate, arrogant, arrogate, derogate, derogation, derogatory, interrogation, prerogative, prorogue, rogation, rogue, surrogate"
rostr-,"beak, prow",Latin,rōstrum,"brevirostrate, curvirostral, lamellirostral, rostellate, rostelliform, rostellum, rostral, rostrate, rostriform, rostrulum, rostrum"
rot-,wheel,Latin,"rota, rotāre","arrondissement, circumrotation, contrarotation, control, controller, decontrol, enroll, enrollee, enrollment, irrotational, multirole, multiroll, redondilla, reenroll, rodeo, role, roll, rondeau, rondel, rondelle, rondo, rotary, rotate, rotation, rotational, rotator, rotatory, rotavirus, rotelle, rotifer, Rotifera, rotiferous, rotiform, rotula, rotund, rotunda, rotundifolious, rotundity, roulette, round, roundel, roundelay, roundlet, rowel, semiround"
"ruber-, rubr-",red,Latin,ruber,"erubescence, erubescent, rubella, Rubio, rubious, rubric, rubricate, rubrication, rubricator, ruby"
rudi-,"unskilled, rough, unlearned",Latin,rudis,"erudite, erudition, rude, rudiment, rudimentary, rudity"
rug-,wrinkle,Latin,"rūga, rugare","corrugant, corrugate, corrugation, erugate, rugose"
rumin-,throat,Latin,"rūmen, rūminis","rumen, rumenic acid, ruminal, ruminant, ruminate, rumination, ruminator"
"rump-, rupt-","break, burst",Latin,"rumpere, ruptus","abrupt, abruption, corrupt, corruptible, corruption, corruptor, disrupt, disruption, disruptive, disruptor, disrupture, erumpent, erupt, eruption, eruptive, incorrupt, incorruptibility, incorruptible, interrupt, interruptible, interruption, irrupt, irruption, irruptive, maleruption, noneruptive, reroute, rout, route, routine, rupture, subroutine, supereruption"
rur-,"countryside, farm",Latin,"rūs, rūris","nonrural, roister, roisterous, rural, rustic, rusticate, rustication, rusticity"
